#  Iter.   M_avg.    U_Bind.    Susc.
    9561  0.035998  0.317349  0.013045
    9571  0.035991  0.317291  0.013048
    9581  0.035978  0.317233  0.013050
    9591  0.035945  0.317171  0.013053
    9601  0.035896  0.317104  0.013055
    9611  0.035831  0.317032  0.013058
    9621  0.035789  0.316955  0.013060
    9631  0.035819  0.316885  0.013063
    9641  0.035861  0.316823  0.013065
    9651  0.035850  0.316762  0.013067
    9661  0.035833  0.316701  0.013069
    9671  0.035828  0.316641  0.013071
    9681  0.035820  0.316582  0.013073
    9691  0.035818  0.316525  0.013075
    9701  0.035847  0.316475  0.013077
    9711  0.035897  0.316432  0.013078
    9721  0.035875  0.316388  0.013080
    9731  0.035812  0.316338  0.013082
    9741  0.035781  0.316285  0.013084
    9751  0.035763  0.316232  0.013085
    9761  0.035745  0.316178  0.013087
    9771  0.035727  0.316122  0.013088
    9781  0.035734  0.316071  0.013089
    9791  0.035759  0.316025  0.013090
    9801  0.035726  0.315976  0.013092
    9811  0.035755  0.315934  0.013093
    9821  0.035724  0.315889  0.013094
    9831  0.035711  0.315843  0.013095
    9841  0.035750  0.315805  0.013095
    9851  0.035831  0.315767  0.013097
    9861  0.035837  0.315733  0.013098
    9871  0.035893  0.315705  0.013099
    9881  0.035866  0.315674  0.013101
    9891  0.035861  0.315645  0.013102
    9901  0.035830  0.315613  0.013103
    9911  0.035797  0.315578  0.013104
    9921  0.035745  0.315538  0.013105
    9931  0.035725  0.315498  0.013106
    9941  0.035676  0.315452  0.013107
    9951  0.035698  0.315412  0.013108
    9961  0.035699  0.315373  0.013109
    9971  0.035674  0.315333  0.013110
    9981  0.035676  0.315295  0.013111
    9991  0.035661  0.315257  0.013111
    9001  0.031033  0.347427  0.013296
    9011  0.031020  0.347490  0.013292
    9021  0.031062  0.347562  0.013289
    9031  0.031097  0.347643  0.013286
    9041  0.031064  0.347717  0.013282
    9051  0.031010  0.347781  0.013279
    9061  0.030966  0.347837  0.013276
    9071  0.030970  0.347897  0.013273
    9081  0.030979  0.347960  0.013270
    9091  0.030981  0.348026  0.013266
    9101  0.030962  0.348090  0.013263
    9111  0.030994  0.348161  0.013259
    9121  0.030984  0.348232  0.013256
    9131  0.030988  0.348305  0.013252
    9141  0.030987  0.348380  0.013248
    9151  0.031072  0.348446  0.013245
    9161  0.031073  0.348515  0.013242
    9171  0.031063  0.348583  0.013239
    9181  0.031077  0.348656  0.013235
    9191  0.031013  0.348719  0.013232
    9201  0.030983  0.348777  0.013229
    9211  0.030932  0.348827  0.013227
    9221  0.030917  0.348876  0.013224
    9231  0.030893  0.348921  0.013221
    9241  0.030888  0.348966  0.013218
    9251  0.030881  0.349012  0.013215
    9261  0.030842  0.349052  0.013212
    9271  0.030878  0.349100  0.013209
    9281  0.030899  0.349153  0.013206
    9291  0.030867  0.349201  0.013202
    9301  0.030866  0.349251  0.013199
    9311  0.030906  0.349307  0.013196
    9321  0.030948  0.349371  0.013193
    9331  0.031040  0.349418  0.013191
    9341  0.031088  0.349472  0.013189
    9351  0.031121  0.349533  0.013187
    9361  0.031178  0.349598  0.013186
    9371  0.031169  0.349663  0.013184
    9381  0.031331  0.349554  0.013186
    9391  0.031385  0.349454  0.013188
    9401  0.031370  0.349354  0.013190
    9411  0.031342  0.349252  0.013191
    9421  0.031359  0.349156  0.013193
    9431  0.031408  0.349069  0.013195
    9441  0.031359  0.348976  0.013197
    9451  0.031373  0.348889  0.013198
    9461  0.031372  0.348805  0.013200
    9471  0.031331  0.348716  0.013201
    9481  0.031346  0.348633  0.013203
    9491  0.031328  0.348549  0.013204
    9501  0.031402  0.348466  0.013206
    9511  0.031367  0.348379  0.013208
    9521  0.031386  0.348299  0.013210
    9531  0.031339  0.348213  0.013212
    9541  0.031320  0.348127  0.013213
    9551  0.031278  0.348035  0.013215
    9561  0.031252  0.347942  0.013217
    9571  0.031252  0.347852  0.013219
    9581  0.031249  0.347763  0.013220
    9591  0.031228  0.347674  0.013221
    9601  0.031171  0.347579  0.013223
    9611  0.031180  0.347488  0.013224
    9621  0.031188  0.347402  0.013226
    9631  0.031187  0.347318  0.013227
    9641  0.031190  0.347237  0.013228
    9651  0.031155  0.347153  0.013229
    9661  0.031149  0.347071  0.013230
    9671  0.031161  0.346993  0.013231
    9681  0.031181  0.346921  0.013231
    9691  0.031183  0.346853  0.013232
    9701  0.031220  0.346791  0.013232
    9711  0.031233  0.346734  0.013233
    9721  0.031255  0.346683  0.013233
    9731  0.031231  0.346630  0.013233
    9741  0.031182  0.346572  0.013234
    9751  0.031217  0.346520  0.013234
    9761  0.031179  0.346464  0.013235
    9771  0.031149  0.346406  0.013236
    9781  0.031142  0.346348  0.013236
    9791  0.031144  0.346293  0.013236
    9801  0.031161  0.346243  0.013236
    9811  0.031181  0.346199  0.013237
    9821  0.031178  0.346156  0.013237
    9831  0.031156  0.346111  0.013237
    9841  0.031151  0.346067  0.013236
    9851  0.031140  0.346023  0.013236
    9861  0.031126  0.345979  0.013236
    9871  0.031142  0.345940  0.013235
    9881  0.031122  0.345899  0.013235
    9891  0.031105  0.345857  0.013234
    9901  0.031098  0.345816  0.013234
    9911  0.031127  0.345781  0.013233
    9921  0.031113  0.345745  0.013232
    9931  0.031122  0.345713  0.013231
    9941  0.031129  0.345683  0.013230
    9951  0.031108  0.345652  0.013229
    9961  0.031200  0.345603  0.013229
    9971  0.031215  0.345558  0.013229
    9981  0.031212  0.345514  0.013229
    9991  0.031242  0.345476  0.013229
    9001  0.020671  0.364458  0.011236
    9011  0.020682  0.364414  0.011236
    9021  0.020684  0.364373  0.011236
    9031  0.020726  0.364339  0.011237
    9041  0.020751  0.364314  0.011237
    9051  0.020751  0.364293  0.011237
    9061  0.020782  0.364281  0.011238
    9071  0.020784  0.364273  0.011238
    9081  0.020754  0.364258  0.011238
    9091  0.020737  0.364240  0.011239
    9101  0.020735  0.364223  0.011239
    9111  0.020737  0.364211  0.011239
    9121  0.020731  0.364199  0.011238
    9131  0.020785  0.364183  0.011239
    9141  0.020768  0.364164  0.011239
    9151  0.020815  0.364147  0.011240
    9161  0.020801  0.364128  0.011241
    9171  0.020776  0.364105  0.011241
    9181  0.020789  0.364087  0.011242
    9191  0.020788  0.364073  0.011242
    9201  0.020778  0.364057  0.011243
    9211  0.020776  0.364044  0.011243
    9221  0.020806  0.364038  0.011243
    9231  0.020778  0.364027  0.011243
    9241  0.020785  0.364020  0.011244
    9251  0.020817  0.364020  0.011244
    9261  0.020818  0.364023  0.011244
    9271  0.020808  0.364025  0.011244
    9281  0.020824  0.364034  0.011244
    9291  0.020844  0.364049  0.011244
    9301  0.020882  0.364070  0.011244
    9311  0.020875  0.364090  0.011244
    9321  0.020873  0.364111  0.011244
    9331  0.020865  0.364133  0.011244
    9341  0.020860  0.364154  0.011243
    9351  0.020846  0.364173  0.011243
    9361  0.020838  0.364192  0.011242
    9371  0.020814  0.364205  0.011242
    9381  0.020811  0.364220  0.011241
    9391  0.020827  0.364241  0.011241
    9401  0.020795  0.364255  0.011240
    9411  0.020784  0.364268  0.011239
    9421  0.020802  0.364287  0.011239
    9431  0.020787  0.364303  0.011238
    9441  0.020793  0.364323  0.011237
    9451  0.020766  0.364338  0.011236
    9461  0.020779  0.364357  0.011235
    9471  0.020764  0.364374  0.011234
    9481  0.020745  0.364388  0.011234
    9491  0.020720  0.364397  0.011233
    9501  0.020707  0.364403  0.011232
    9511  0.020696  0.364409  0.011231
    9521  0.020764  0.364385  0.011231
    9531  0.020771  0.364365  0.011231
    9541  0.020769  0.364346  0.011231
    9551  0.020741  0.364323  0.011230
    9561  0.020718  0.364295  0.011230
    9571  0.020725  0.364272  0.011230
    9581  0.020712  0.364247  0.011230
