site,mx,my,mz,atom
180,-0.034900926,-0.75942963,-0.64965266,1
181,-0.018781407,-0.42685696,-0.90412414,1
182,-0.024073938,-0.1612165,-0.98662543,1
183,-0.06350517,0.031836923,-0.9974736,1
184,-0.15776847,0.18938614,-0.969145,1
185,-0.32576936,0.32218543,-0.88885933,1
186,-0.5538279,0.38939223,-0.73596764,1
187,-0.774067,0.33151448,-0.53936857,1
188,-0.9095262,0.14226629,-0.39054105,1
189,-0.92031306,-0.10972635,-0.37547842,1
190,-0.8014364,-0.31685743,-0.5072485,1
191,-0.5829577,-0.3911611,-0.712147,1
192,-0.33538535,-0.32313284,-0.88493043,1
193,-0.124760345,-0.18308672,-0.97514826,1
194,0.03783176,-0.050145894,-0.9980252,1
195,0.16785714,0.033240326,-0.9852508,1
196,0.26483196,0.0557284,-0.9626829,1
197,0.30973718,0.02969408,-0.95035845,1
198,0.28779358,-0.0155842565,-0.95756567,1
199,0.20743874,-0.05097178,-0.9769192,1
200,0.10084299,-0.06391925,-0.99284697,1
201,0.0077803615,-0.057762004,-0.9983001,1
202,-0.044261105,-0.035833012,-0.9983772,1
203,-0.047197767,0.011479899,-0.99881965,1
204,-0.0036881422,0.10574922,-0.994386,1
205,0.08877095,0.268994,-0.95904225,1
206,0.2473769,0.49608442,-0.832289,1
207,0.47666842,0.6960091,-0.5369903,1
208,0.70537585,0.70091593,-0.10564963,1
209,0.84539014,0.46103987,0.26973647,1
210,0.89500326,0.08215001,0.43842968,1
211,0.8771652,-0.3156522,0.3618633,1
212,0.7796072,-0.6234396,0.05946176,1
213,0.5830305,-0.72385657,-0.36892694,1
214,0.34426597,-0.587063,-0.7326923,1
215,0.1612082,-0.340379,-0.9263661,1
216,0.05170591,-0.09368499,-0.99425834,1
217,-0.02115127,0.15237854,-0.9880959,1
218,-0.10168017,0.43921188,-0.89261085,1
219,-0.22487997,0.75198245,-0.61963814,1
220,-0.37725464,0.91866,-0.117229655,1
221,-0.48140195,0.76952136,0.41962966,1
222,-0.51645416,0.40183324,0.756178,1
223,-0.520422,-0.032809097,0.85327876,1
