step,total,heisenberg,dmi,anisotropy
45,-3.999999523162842,-3.999999523162842,-0.0,0.0
46,-3.999999523162842,-3.999999523162842,-0.0,0.0
47,-4.0,-4.0,-0.0,0.0
48,-4.000000476837158,-4.000000476837158,-0.0,0.0
49,-3.999999523162842,-3.999999523162842,-0.0,0.0
50,-4.0,-4.0,-0.0,0.0
51,-4.0,-4.0,-0.0,0.0
52,-3.999999523162842,-3.999999523162842,-0.0,0.0
53,-4.000000476837158,-4.000000476837158,-0.0,0.0
54,-4.000000476837158,-4.000000476837158,-0.0,0.0
55,-3.999999523162842,-3.999999523162842,-0.0,0.0
56,-4.000000476837158,-4.000000476837158,-0.0,0.0
57,-4.0,-4.0,-0.0,0.0
58,-3.999999761581421,-3.999999761581421,-0.0,0.0
59,-3.999999523162842,-3.999999523162842,-0.0,0.0
60,-3.999999761581421,-3.999999761581421,-0.0,0.0
61,-4.0,-4.0,-0.0,0.0
62,-4.0,-4.0,-0.0,0.0
63,-4.0,-4.0,-0.0,0.0
64,-3.999999523162842,-3.999999523162842,-0.0,0.0
65,-4.0,-4.0,-0.0,0.0
66,-3.999999523162842,-3.999999523162842,-0.0,0.0
67,-3.999999523162842,-3.999999523162842,-0.0,0.0
68,-4.0,-4.0,-0.0,0.0
69,-4.0,-4.0,-0.0,0.0
70,-4.000000476837158,-4.000000476837158,-0.0,0.0
71,-4.0,-4.0,-0.0,0.0
72,-4.000000476837158,-4.000000476837158,-0.0,0.0
73,-4.0,-4.0,-0.0,0.0
74,-4.0,-4.0,-0.0,0.0
75,-4.0,-4.0,-0.0,0.0
76,-4.000000476837158,-4.000000476837158,-0.0,0.0
77,-4.0,-4.0,-0.0,0.0
78,-4.0,-4.0,-0.0,0.0
79,-4.0,-4.0,-0.0,0.0
80,-4.000000476837158,-4.000000476837158,-0.0,0.0
81,-4.0,-4.0,-0.0,0.0
82,-3.999999523162842,-3.999999523162842,-0.0,0.0
83,-3.999999523162842,-3.999999523162842,-0.0,0.0
84,-4.0,-4.0,-0.0,0.0
85,-4.0,-4.0,-0.0,0.0
86,-4.0,-4.0,-0.0,0.0
87,-4.0,-4.0,-0.0,0.0
88,-4.0,-4.0,-0.0,0.0
89,-4.000000476837158,-4.000000476837158,-0.0,0.0
90,-4.000000476837158,-4.000000476837158,-0.0,0.0
91,-3.999999523162842,-3.999999523162842,-0.0,0.0
92,-4.0,-4.0,-0.0,0.0
93,-3.999999761581421,-3.999999761581421,-0.0,0.0
94,-3.999999523162842,-3.999999523162842,-0.0,0.0
95,-3.999999523162842,-3.999999523162842,-0.0,0.0
96,-3.999999761581421,-3.999999761581421,-0.0,0.0
97,-4.0,-4.0,-0.0,0.0
98,-4.0,-4.0,-0.0,0.0
99,-3.999999523162842,-3.999999523162842,-0.0,0.0
100,-3.999999761581421,-3.999999761581421,-0.0,0.0
101,-3.999999761581421,-3.999999761581421,-0.0,0.0
102,-4.000000476837158,-4.000000476837158,-0.0,0.0
103,-4.000000476837158,-4.000000476837158,-0.0,0.0
104,-4.000000476837158,-4.000000476837158,-0.0,0.0
105,-4.0,-4.0,-0.0,0.0
106,-3.999999761581421,-3.999999761581421,-0.0,0.0
107,-4.000000476837158,-4.000000476837158,-0.0,0.0
108,-4.0,-4.0,-0.0,0.0
109,-3.999999761581421,-3.999999761581421,-0.0,0.0
110,-4.0,-4.0,-0.0,0.0
111,-4.0,-4.0,-0.0,0.0
112,-4.0,-4.0,-0.0,0.0
113,-4.000000476837158,-4.000000476837158,-0.0,0.0
114,-4.000000476837158,-4.000000476837158,-0.0,0.0
115,-4.0,-4.0,-0.0,0.0
116,-3.999999761581421,-3.999999761581421,-0.0,0.0
117,-4.0,-4.0,-0.0,0.0
118,-4.000000476837158,-4.000000476837158,-0.0,0.0
119,-4.000000476837158,-4.000000476837158,-0.0,0.0
120,-4.0,-4.0,-0.0,0.0
121,-4.0,-4.0,-0.0,0.0
122,-4.000000476837158,-4.000000476837158,-0.0,0.0
123,-3.999999761581421,-3.999999761581421,-0.0,0.0
