site,mx,my,mz,atom,run
337,0.8980804,0.33270326,-0.28768066,1,run1
338,0.985119,0.06021968,-0.16097885,1,run1
339,0.9465998,-0.23379616,-0.2220095,1,run1
340,0.788704,-0.43368784,-0.43573046,1,run1
341,0.54889804,-0.4702044,-0.69109964,1,run1
342,0.31131548,-0.36408812,-0.87779415,1,run1
343,0.14475472,-0.1955531,-0.9699511,1,run1
344,0.052821055,-0.009021721,-0.99856323,1,run1
345,0.007971465,0.21334246,-0.976945,1,run1
346,-0.017368725,0.5086429,-0.86080235,1,run1
347,-0.04194443,0.8418873,-0.53802085,1,run1
348,-0.0680165,0.9971733,0.03192432,1,run1
349,-0.08260102,0.8023813,0.59106797,1,run1
350,-0.08479765,0.40602237,0.90992045,1,run1
351,-0.082930654,-0.034855906,0.9959456,1,run1
352,-0.08070578,-0.4737102,0.87697506,1,run1
353,-0.07481704,-0.8526312,0.517129,1,run1
354,-0.05768641,-0.99611133,-0.06659244,1,run1
355,-0.03326654,-0.7940304,-0.6069671,1,run1
356,-0.017802283,-0.45969242,-0.88789976,1,run1
357,-0.022062197,-0.18434493,-0.982614,1,run1
358,-0.05874481,0.014325331,-0.99817026,1,run1
359,-0.14831835,0.17241627,-0.9737938,1,run1
360,-0.3102908,0.3038046,-0.9007899,1,run1
361,-0.5338074,0.37215236,-0.7593104,1,run1
362,-0.7535322,0.31977895,-0.57439595,1,run1
363,-0.89057326,0.13895498,-0.43309447,1,run1
364,-0.9020186,-0.10304345,-0.4192189,1,run1
365,-0.7831302,-0.30020976,-0.5445926,1,run1
366,-0.5665312,-0.3682836,-0.7371633,1,run1
367,-0.32223356,-0.30003127,-0.8978568,1,run1
368,-0.112128906,-0.16262262,-0.98029643,1,run1
369,0.054849423,-0.03187906,-0.9979856,1,run1
370,0.1932933,0.04882996,-0.9799252,1,run1
371,0.2997075,0.06557507,-0.95177484,1,run1
372,0.35118774,0.030179417,-0.93581855,1,run1
373,0.33052108,-0.025245639,-0.94346094,1,run1
374,0.24662372,-0.06719939,-0.9667787,1,run1
375,0.13450746,-0.08030269,-0.9876534,1,run1
376,0.036726005,-0.06786642,-0.9970183,1,run1
377,-0.018649995,-0.034531314,-0.9992296,1,run1
378,-0.024153177,0.028900672,-0.99929047,1,run1
379,0.018258069,0.14526853,-0.9892238,1,run1
380,0.1136708,0.33700716,-0.93461496,1,run1
381,0.27942753,0.5870896,-0.7597671,1,run1
382,0.5053851,0.76910573,-0.3912318,1,run1
383,0.7016842,0.70785874,0.0810884,1,run1
384,0.8024055,0.40702486,0.43643582,1,run1
385,0.99986464,-0.0029567885,-0.016185513,1,run1
386,0.9397755,-0.31776777,-0.1258793,1,run1
387,0.7647128,-0.5103564,-0.39338353,1,run1
388,0.51358795,-0.51470023,-0.686521,1,run1
389,0.2785923,-0.3710753,-0.885827,1,run1
390,0.12246459,-0.17480063,-0.9769581,1,run1
391,0.037006866,0.035877533,-0.99867076,1,run1
392,-0.011710532,0.2879433,-0.95757586,1,run1
393,-0.0553904,0.61004126,-0.79043126,1,run1
394,-0.11189926,0.91714966,-0.38251156,1,run1
395,-0.16544984,0.9614774,0.21951677,1,run1
396,-0.18861465,0.677871,0.71057403,1,run1
397,-0.19080971,0.25547174,0.9478006,1,run1
398,-0.18849105,-0.19011882,0.96349674,1,run1
399,-0.18374325,-0.6202676,0.76256573,1,run1
400,-0.16309693,-0.93739533,0.30771634,1,run1
401,-0.11385003,-0.94796956,-0.29730782,1,run1
402,-0.05982255,-0.6664109,-0.7431808,1,run1
403,-0.029617311,-0.34759086,-0.93717843,1,run1
404,-0.03174466,-0.11075227,-0.99334097,1,run1
405,-0.07636598,0.057924397,-0.9953959,1,run1
406,-0.18082784,0.19139692,-0.96471167,1,run1
407,-0.35508725,0.29063457,-0.88850695,1,run1
408,-0.57136273,0.3153519,-0.75769246,1,run1
409,-0.7583755,0.22624755,-0.6112926,1,run1
410,-0.84787846,0.040239427,-0.52866143,1,run1
411,-0.8091035,-0.16505879,-0.5640099,1,run1
412,-0.6522896,-0.29541928,-0.6980299,1,run1
413,-0.4283003,-0.29965428,-0.8525058,1,run1
414,-0.205418,-0.20149678,-0.95770687,1,run1
415,-0.01760409,-0.068610325,-0.9974882,1,run1
416,0.14363249,0.04020675,-0.988814,1,run1
417,0.28587714,0.090894066,-0.9539458,1,run1
418,0.3903251,0.07439077,-0.9176668,1,run1
419,0.42657885,0.010856057,-0.90438527,1,run1
420,0.38190243,-0.059329573,-0.9222964,1,run1
421,0.27559215,-0.10112251,-0.955941,1,run1
422,0.15088992,-0.10416989,-0.98304677,1,run1
423,0.051010955,-0.07742233,-0.99569255,1,run1
424,-0.001450353,-0.027221838,-0.99962837,1,run1
425,-0.0039666714,0.057332397,-0.9983473,1,run1
426,0.040994532,0.20142905,-0.9786449,1,run1
427,0.14110848,0.4253691,-0.89395165,1,run1
428,0.31132132,0.68988675,-0.653556,1,run1
429,0.5214585,0.82718104,-0.2094101,1,run1
430,0.6748378,0.6846367,0.27543867,1,run1
431,0.7400678,0.33280984,0.584412,1,run1
432,0.75344795,-0.09041622,0.65126115,1,run1
433,0.7274399,-0.49356142,0.47668487,1,run1
434,0.6307501,-0.77194303,0.07910895,1,run1
435,0.4437815,-0.79407495,-0.4153347,1,run1
436,0.2412146,-0.575234,-0.7816146,1,run1
437,0.100904986,-0.2918989,-0.95111156,1,run1
438,0.013927087,-0.033963535,-0.99932605,1,run1
439,-0.06318675,0.22038129,-0.97336507,1,run1
440,-0.17584658,0.507575,-0.8434724,1,run1
441,-0.34989655,0.7764212,-0.524159,1,run1
442,-0.5362507,0.84373194,-0.023486946,1,run1
443,-0.6457488,0.6239704,0.4400789,1,run1
444,-0.679014,0.23860735,0.694267,1,run1
445,-0.6757546,-0.19246824,0.71155584,1,run1
446,-0.6406965,-0.59262514,0.4881634,1,run1
447,-0.5379682,-0.8420879,0.038446587,1,run1
448,-0.35696962,-0.80355656,-0.4763083,1,run1
449,-0.18022332,-0.54902166,-0.8161463,1,run1
450,-0.06800168,-0.2873648,-0.9554042,1,run1
451,-0.015045753,-0.10536546,-0.99431974,1,run1
452,-0.010932191,0.0071080932,-0.999915,1,run1
453,-0.057224914,0.078405425,-0.9952778,1,run1
454,-0.15596476,0.12397473,-0.9799517,1,run1
455,-0.29212615,0.13800684,-0.9463702,1,run1
456,-0.42490527,0.10491113,-0.89913803,1,run1
457,-0.5032486,0.02563622,-0.8637613,1,run1
458,-0.49396497,-0.06709223,-0.8668894,1,run1
459,-0.39882398,-0.12344878,-0.90868026,1,run1
460,-0.25026193,-0.109393835,-0.96197814,1,run1
