site,atom,mx,my,mz
87,1,0.12030233,-0.47857363,-0.869766997
88,1,0.0328229,-0.186019762,-0.98199761
89,1,-0.0394405738,0.0639117304,-0.997175878
90,1,-0.141021291,0.311469116,-0.939733997
91,1,-0.312023324,0.566244627,-0.762894795
92,1,-0.546082926,0.729670425,-0.411551343
93,1,-0.75090524,0.659821129,0.0278818682
94,1,-0.858567945,0.36733047,0.357672208
95,1,-0.885029552,-0.0293547512,0.464608428
96,1,-0.847429043,-0.419876104,0.324912409
97,1,-0.72471544,-0.688259543,-0.0329595541
98,1,-0.50744223,-0.718649042,-0.475442886
99,1,-0.273376715,-0.533302779,-0.800533146
100,1,-0.104715315,-0.299125359,-0.948450696
101,1,-0.00448107755,-0.124078146,-0.992262331
102,1,0.0455710493,-0.0211949318,-0.998736229
103,1,0.0497128039,0.0302723295,-0.998304675
104,1,0.00516704364,0.0529874503,-0.99858181
105,1,-0.0815591612,0.058930047,-0.994924798
106,1,-0.184721564,0.0471041903,-0.981661418
107,1,-0.265209771,0.0148905723,-0.964075748
108,1,-0.290275231,-0.0262541629,-0.956582986
109,1,-0.250157175,-0.0486746197,-0.966980956
110,1,-0.157830559,-0.0232706115,-0.987191974
111,1,-0.0304140288,0.063990966,-0.997486914
112,1,0.133149057,0.203872434,-0.969900696
113,1,0.349047691,0.353072109,-0.868047116
114,1,0.603991866,0.425885829,-0.673657989
115,1,0.827356135,0.345049584,-0.443195906
116,1,0.948288494,0.120353837,-0.293707142
117,1,0.938955808,-0.154562339,-0.307363748
118,1,0.802511104,-0.363426128,-0.473177956
119,1,0.575173833,-0.427501792,-0.697436219
120,1,0.336966661,-0.35063169,-0.8737911
121,1,0.161816756,-0.200767463,-0.966182055
122,1,0.0631055895,-0.0251233966,-0.997690583
123,1,0.0180782249,0.18767272,-0.982065236
124,1,0.00158458825,0.47425989,-0.880383465
125,1,-0.00346880314,0.812051429,-0.583575568
126,1,-0.00510870308,0.99957402,-0.0287346364
127,1,-0.00478387063,0.8354489,0.549547314
128,1,-0.00258013341,0.446481486,0.894789152
129,1,0.440673934,-8.45997371e-05,0.897667242
130,1,0.438961967,-0.438547065,0.784212256
131,1,0.409643852,-0.805654507,0.427916732
132,1,0.317702411,-0.93925377,-0.129875073
133,1,0.18544914,-0.74854436,-0.636623874
134,1,0.0802457965,-0.423974383,-0.902112152
135,1,0.00782164399,-0.134607486,-0.990868128
136,1,-0.0674808374,0.111408058,-0.991481004
137,1,-0.189383004,0.353695181,-0.91598788
138,1,-0.390417617,0.581271966,-0.713930659
139,1,-0.639716831,0.680735105,-0.356878262
140,1,-0.83587288,0.547626743,0.0377025009
141,1,-0.929434114,0.22642613,0.29134762
142,1,-0.935297064,-0.16490163,0.313092406
143,1,-0.856367902,-0.507663004,0.0944049315
144,1,-0.674909393,-0.677809346,-0.291670708
145,1,-0.423525535,-0.610104843,-0.669625419
146,1,-0.200575325,-0.400843209,-0.893920724
147,1,-0.0519052913,-0.198751103,-0.978674532
148,1,0.037403001,-0.0643159009,-0.997228399
149,1,0.0809978554,0.00579325569,-0.996697439
150,1,0.0775754032,0.0334990332,-0.99642354
151,1,0.0251818618,0.0398720853,-0.998887426
152,1,-0.0635955768,0.0352183798,-0.997354134
153,1,-0.157866803,0.0188942153,-0.987279637
154,1,-0.220592824,-0.00855391896,-0.975328476
155,1,-0.22767756,-0.0330011496,-0.973177195
156,1,-0.177578126,-0.0285941452,-0.983691204
157,1,-0.0835096443,0.0284530736,-0.996100679
158,1,0.0472738757,0.147296922,-0.987961941
159,1,0.227568252,0.311141604,-0.922715337
160,1,0.468672118,0.455537915,-0.756856429
161,1,0.726771171,0.47509249,-0.496075389
162,1,0.916943673,0.315057286,-0.244853438
163,1,0.990802478,0.0294283655,-0.132077332
164,1,0.940129235,-0.266400157,-0.212574641
165,1,0.771623889,-0.456829926,-0.4426093
166,1,0.526242771,-0.476940789,-0.703985816
167,1,0.291854907,-0.356948262,-0.887360497
168,1,0.132557706,-0.181160043,-0.974479088
169,1,0.04598221,0.0109532995,-0.998882206
170,1,0.00259542371,0.241867514,-0.970305812
171,1,-0.0256316014,0.546599846,-0.837001571
172,1,-0.0568545327,0.873398899,-0.483675434
173,1,-0.0888831377,0.990811558,0.101942354
174,1,-0.104221957,0.762325245,0.638747215
175,1,-0.103988388,0.356703739,0.928412009
176,1,-0.0989056465,-0.084209201,0.991527349
177,1,-0.0935059043,-0.520064825,0.848993065
178,1,-0.0839642378,-0.883344644,0.461142329
179,1,-0.0623223121,-0.989031555,-0.133912335
180,1,-0.0349009248,-0.759429637,-0.649652639
181,1,-0.0187814044,-0.426856966,-0.904124101
182,1,-0.0240739387,-0.161216494,-0.986625404
183,1,-0.0635051616,0.0318369233,-0.997473561
184,1,-0.157768468,0.189386151,-0.969144982
185,1,-0.325769369,0.322185433,-0.888859306
186,1,-0.553827873,0.389392215,-0.735967656
187,1,-0.774067022,0.331514525,-0.539368487
188,1,-0.909526241,0.142266286,-0.390541061
189,1,-0.920313035,-0.10972635,-0.375478423
190,1,-0.801436435,-0.31685741,-0.507248481
191,1,-0.582957668,-0.391161109,-0.712146996
192,1,-0.335385354,-0.323132833,-0.884930413
193,1,-0.124760343,-0.183086718,-0.975148251
194,1,0.0378317617,-0.0501458893,-0.998025124
195,1,0.167857133,0.0332403254,-0.985250762
196,1,0.264831973,0.0557283967,-0.962682903
197,1,0.309737168,0.0296940802,-0.950358431
198,1,0.287793567,-0.0155842568,-0.95756566
199,1,0.207438744,-0.0509717802,-0.97691916
200,1,0.100842981,-0.0639192445,-0.992846928
201,1,0.0077803616,-0.0577620033,-0.998300064
202,1,-0.0442611018,-0.0358330071,-0.998377158
203,1,-0.0471977617,0.0114798983,-0.998819595
204,1,-0.00368814222,0.105749221,-0.994385991
205,1,0.0887709418,0.268993984,-0.959042208
206,1,0.247376903,0.496084426,-0.832288958
207,1,0.476668414,0.696009114,-0.536990257
208,1,0.705375846,0.700915882,-0.105649623
209,1,0.845390155,0.461039851,0.269736432
210,1,0.895003225,0.0821501974,0.438429665
211,1,0.877165145,-0.315652167,0.36186326
212,1,0.779607159,-0.623439634,0.0594617613
213,1,0.583030515,-0.723856571,-0.368926934
214,1,0.344265978,-0.587062991,-0.732692282
215,1,0.161208182,-0.340378974,-0.926366059
216,1,0.0517059119,-0.0936849905,-0.994258327
217,1,-0.0211512707,0.152378546,-0.988095847
218,1,-0.101680166,0.439211863,-0.892610824
219,1,-0.224879966,0.751982442,-0.619638126
220,1,-0.377254553,0.918660011,-0.11722963
221,1,-0.48140195,0.769521347,0.419629669
222,1,-0.516454162,0.401833227,0.756177993
223,1,-0.520421904,-0.032809098,0.853278738
224,1,-0.511075389,-0.464189821,0.723415342
225,1,-0.466574969,-0.812089128,0.350455484
226,1,-0.351202826,-0.914422103,-0.20121827
227,1,-0.199359834,-0.71288511,-0.672346991
228,1,-0.0875121151,-0.413356441,-0.906354281
229,1,-0.0318240816,-0.17891755,-0.983349245
230,1,-0.0246204071,-0.0264752208,-0.999346235
231,1,-0.0674969392,0.0738063258,-0.994985824
232,1,-0.166523504,0.14311378,-0.975596417
233,1,-0.313640817,0.177073791,-0.93288494
234,1,-0.470179519,0.15419937,-0.868995842
235,1,-0.577857178,0.0674767893,-0.813343694
236,1,-0.592098115,-0.051435039,-0.804222767
237,1,-0.505219793,-0.143362292,-0.850999538
238,1,-0.347980174,-0.160094711,-0.923731282
239,1,-0.166770961,-0.0951056419,-0.981398168
240,1,0.0134911925,0.0197956188,-0.999713019
241,1,0.199589439,0.13610481,-0.97038113
242,1,0.395840927,0.201136505,-0.896021243
243,1,0.570191147,0.175376892,-0.802573985
244,1,0.668676903,0.0632367281,-0.740859174
245,1,0.656559419,-0.0804670101,-0.749969859
246,1,0.540553215,-0.18589388,-0.820515501
247,1,0.367625449,-0.213940792,-0.905030865
248,1,0.202381955,-0.172411435,-0.964010291
249,1,0.0888566954,-0.0894950058,-0.992015691
250,1,0.0355864126,0.0252692382,-0.999047082
251,1,0.0344028942,0.192567608,-0.980680456
252,1,0.0809296383,0.443206462,-0.892758885
253,1,0.179002584,0.753864842,-0.63217551
254,1,0.308918104,0.942513411,-0.127428703
255,1,0.401046651,0.80825247,0.43114908
256,1,0.433541193,0.439316168,0.786793072
257,1,0.829712844,-0.0022902565,0.558185767
258,1,0.804604926,-0.40935252,0.43016442
259,1,0.704493461,-0.705868709,0.0737450294
260,1,0.508594591,-0.764911101,-0.395275283
261,1,0.285525361,-0.579230067,-0.763523279
262,1,0.124732352,-0.306660322,-0.943610771
263,1,0.0270163382,-0.0471225185,-0.998523703
264,1,-0.0507032559,0.213155375,-0.975701781
265,1,-0.155153318,0.510821299,-0.845570251
266,1,-0.314847769,0.795741201,-0.517365271
267,1,-0.487065378,0.87335489,0.00430744288
268,1,-0.586987855,0.648083808,0.48521401
269,1,-0.61706382,0.253022532,0.745125386
270,1,-0.616989021,-0.185409249,0.764818906
271,1,-0.591338699,-0.594659808,0.544700152
272,1,-0.504115986,-0.858765417,0.0915916513
273,1,-0.339046784,-0.830545268,-0.441861783
274,1,-0.172489599,-0.571701302,-0.802125276
275,1,-0.0662751154,-0.300183608,-0.951576277
276,1,-0.0178706485,-0.110196826,-0.993749113
277,1,-0.0184040961,0.00796460216,-0.999798907
278,1,-0.0701195142,0.0832796747,-0.99405621
279,1,-0.174594607,0.130328096,-0.975977106
280,1,-0.314378556,0.141602216,-0.938677227
281,1,-0.445311691,0.101959738,-0.889551409
282,1,-0.515491093,0.0165143908,-0.856735787
283,1,-0.494754857,-0.0770823901,-0.865607264
284,1,-0.389658796,-0.127813237,-0.912047038
285,1,-0.235500988,-0.104954504,-0.966190373
286,1,-0.0663483121,-0.0145743055,-0.997690078
287,1,0.112374286,0.109469333,-0.98761758
288,1,0.313054827,0.216838065,-0.924650165
289,1,0.52361132,0.249448196,-0.814620637
290,1,0.691385004,0.173920772,-0.701240573
291,1,0.760226576,0.0163692652,-0.649451769
292,1,0.707763877,-0.148475267,-0.690670246
293,1,0.554778924,-0.246798158,-0.794550826
294,1,0.359580187,-0.250634655,-0.898823875
295,1,0.189982852,-0.18309425,-0.964563638
296,1,0.0819461682,-0.0788169527,-0.993515331
297,1,0.0345728957,0.0568022412,-0.997786661
298,1,0.0354214406,0.250414125,-0.967490614
299,1,0.0785214001,0.530234902,-0.844206928
300,1,0.163334578,0.842541808,-0.513269049
301,1,0.262215259,0.963827117,0.0477540129
302,1,0.320330862,0.749826756,0.578919661
303,1,0.338299825,0.350924269,0.873158282
304,1,0.344177658,-0.0893385874,0.934644508
305,1,0.344385116,-0.520498002,0.781332658
306,1,0.318245386,-0.866498483,0.384578019
307,1,0.238481258,-0.951209941,-0.195771136
308,1,0.133504757,-0.719251099,-0.68180227
309,1,0.0539462467,-0.39087469,-0.918861676
310,1,-0.00466723976,-0.113797908,-0.993492956
311,1,-0.0757512791,0.11759675,-0.99016804
312,1,-0.198887123,0.343193037,-0.917966476
313,1,-0.402641693,0.551666438,-0.730440831
314,1,-0.654627302,0.640160793,-0.402066232
315,1,-0.856705066,0.514553728,-0.03592897
316,1,-0.956168824,0.210116291,0.203941966
317,1,-0.960602813,-0.164578373,0.223955788
318,1,-0.871427655,-0.490362425,0.0125910658
319,1,-0.677374447,-0.64526898,-0.35325883
320,1,-0.420004161,-0.574239785,-0.702741186
321,1,-0.19650635,-0.374118328,-0.906322642
322,1,-0.0471057538,-0.182829374,-0.982015513
323,1,0.0445674018,-0.0559580902,-0.997437937
324,1,0.0916573557,0.00908571468,-0.995749155
325,1,0.0919998212,0.0330247764,-0.995211232
326,1,0.0426619514,0.0370085941,-0.998403887
327,1,-0.0450405914,0.0321947308,-0.998466246
328,1,-0.141572797,0.0179545355,-0.989765011
329,1,-0.210127727,-0.0070417195,-0.977648583
330,1,-0.224965708,-0.0314132274,-0.973860174
331,1,-0.182083901,-0.0307747537,-0.982801286
332,1,-0.0936207084,0.0192842137,-0.995421158
333,1,0.0316037734,0.129877267,-0.991026285
334,1,0.204152596,0.287964161,-0.935627255
335,1,0.437890019,0.436169482,-0.786135176
336,1,0.697239765,0.472371562,-0.539186255
337,1,0.898080383,0.332703262,-0.287680665
338,1,0.985118977,0.0602196772,-0.160978855
339,1,0.946599774,-0.233796171,-0.222009501
340,1,0.788703936,-0.433687796,-0.435730418
341,1,0.548898042,-0.470204421,-0.691099661
342,1,0.311315476,-0.364088107,-0.877794124
343,1,0.144754714,-0.195553084,-0.969951063
344,1,0.0528210532,-0.00902172123,-0.99856324
345,1,0.00797146478,0.213342457,-0.976944958
346,1,-0.0173687249,0.508642909,-0.860802369
347,1,-0.0419444287,0.841887287,-0.538020873
348,1,-0.0680164971,0.997173302,0.0319243185
349,1,-0.0826010146,0.802381297,0.591067954
350,1,-0.0847976484,0.406022373,0.909920431
351,1,-0.082930655,-0.0348559056,0.995945567
352,1,-0.0807057744,-0.473710216,0.876975033
353,1,-0.0748170363,-0.852631232,0.517128991
354,1,-0.0576864073,-0.996111302,-0.0665924328
355,1,-0.0332665399,-0.794030403,-0.606967097
356,1,-0.0178022826,-0.459692416,-0.887899748
357,1,-0.022062197,-0.184344938,-0.982613965
358,1,-0.0587448119,0.0143253306,-0.998170242
359,1,-0.148318336,0.172416262,-0.973793769
360,1,-0.310290788,0.30380458,-0.900789878
361,1,-0.533807396,0.372152361,-0.759310401
362,1,-0.753532157,0.319778935,-0.574395962
363,1,-0.890573241,0.138954982,-0.433094464
364,1,-0.902018602,-0.103043449,-0.419218903
365,1,-0.783130247,-0.300209755,-0.544592618
366,1,-0.566531129,-0.368283579,-0.737163269
367,1,-0.322233555,-0.300031266,-0.897856768
368,1,-0.112128901,-0.162622606,-0.980296383
369,1,0.0548494245,-0.0318790583,-0.997985604
370,1,0.193293285,0.0488299567,-0.979925171
371,1,0.299707498,0.0655750724,-0.951774829
372,1,0.351187747,0.0301794168,-0.935818556
373,1,0.330521054,-0.0252456366,-0.943460911
374,1,0.246623713,-0.0671993777,-0.966778665
375,1,0.134507459,-0.0803026907,-0.987653391
376,1,0.0367260019,-0.0678664123,-0.99701823
377,1,-0.0186499961,-0.0345313129,-0.999229586
378,1,-0.0241531747,0.0289006706,-0.999290436
379,1,0.0182580681,0.145268533,-0.989223785
380,1,0.113670802,0.337007156,-0.934614961
381,1,0.279427518,0.587089586,-0.759767122
382,1,0.505385085,0.769105713,-0.391231797
383,1,0.701684184,0.707858727,0.0810884032
384,1,0.802405474,0.407024851,0.436435821
385,1,0.999864634,-0.00295678847,-0.0161855127
386,1,0.939775534,-0.317767755,-0.125879307
387,1,0.76471282,-0.510356445,-0.393383529
388,1,0.513587964,-0.514700207,-0.686521012
389,1,0.278592289,-0.371075302,-0.88582699
390,1,0.12246459,-0.174800636,-0.976958117
391,1,0.0370068661,0.0358775318,-0.998670764
392,1,-0.0117105316,0.287943304,-0.957575855
393,1,-0.0553904003,0.61004124,-0.790431268
394,1,-0.111899255,0.917149641,-0.38251156
395,1,-0.165449849,0.961477371,0.21951677
396,1,-0.188614657,0.677870974,0.710574031
397,1,-0.190809699,0.2554717,0.947800543
398,1,-0.188491044,-0.190118816,0.963496737
399,1,-0.183743254,-0.620267612,0.762565739
400,1,-0.163096929,-0.937395351,0.307716344
401,1,-0.113850029,-0.947969533,-0.297307813
402,1,-0.0598225465,-0.666410925,-0.743180827
403,1,-0.0296173123,-0.347590877,-0.937178423
404,1,-0.0317446563,-0.110752261,-0.993340935
405,1,-0.0763659793,0.0579243991,-0.995395902
406,1,-0.180827833,0.191396907,-0.964711625
407,1,-0.35508726,0.290634586,-0.888506936
408,1,-0.571362705,0.315351918,-0.757692436
409,1,-0.758375522,0.226247549,-0.611292576
410,1,-0.847878446,0.0402394289,-0.528661451
411,1,-0.809103478,-0.165058789,-0.564009892
412,1,-0.65228962,-0.295419276,-0.698029873
413,1,-0.428300287,-0.299654261,-0.852505829
414,1,-0.205418004,-0.201496781,-0.957706892
415,1,-0.017604091,-0.0686103248,-0.997488205
416,1,0.143632484,0.0402067474,-0.988814
417,1,0.285877105,0.0908940562,-0.95394578
418,1,0.39032509,0.0743907719,-0.91766679
419,1,0.426578823,0.0108560552,-0.904385235
420,1,0.381902404,-0.0593295684,-0.92229635
421,1,0.27559214,-0.101122517,-0.955941007
422,1,0.150889901,-0.104169885,-0.98304673
423,1,0.0510109533,-0.0774223273,-0.995692556
424,1,-0.00145035296,-0.0272218372,-0.999628365
425,1,-0.00396667161,0.0573323972,-0.998347265
426,1,0.0409945299,0.201429043,-0.978644874
427,1,0.141108477,0.425369103,-0.893951634
428,1,0.31132129,0.68988671,-0.653555952
429,1,0.521458498,0.827181023,-0.2094101
430,1,0.674837819,0.68463674,0.275438655
431,1,0.74006776,0.33280983,0.58441195
432,1,0.753447944,-0.0904162191,0.651261163
433,1,0.727439846,-0.49356139,0.476684828
434,1,0.630750126,-0.771943037,0.0791089556
435,1,0.443781494,-0.794074982,-0.415334695
436,1,0.241214602,-0.575233998,-0.781614587
437,1,0.100904989,-0.291898903,-0.951111567
438,1,0.0139270871,-0.0339635352,-0.99932603
439,1,-0.0631867481,0.220381292,-0.97336505
440,1,-0.175846561,0.507574932,-0.843472391
441,1,-0.349896509,0.776421159,-0.524158962
442,1,-0.536250689,0.843731926,-0.0234869458
443,1,-0.645748821,0.623970367,0.440078904
444,1,-0.679013979,0.238607329,0.694266922
445,1,-0.675754597,-0.192468245,0.711555831
446,1,-0.640696488,-0.592625101,0.488163395
447,1,-0.537968213,-0.842087918,0.0384465856
448,1,-0.356969623,-0.803556537,-0.476308282
449,1,-0.180223314,-0.549021669,-0.816146289
450,1,-0.068001678,-0.287364809,-0.955404228
451,1,-0.015045753,-0.105365463,-0.99431974
452,1,-0.0109321911,0.00710809321,-0.999914977
453,1,-0.0572249142,0.0784054253,-0.9952778
454,1,-0.155964767,0.123974735,-0.97995166
455,1,-0.292126112,0.138006819,-0.946370146
456,1,-0.424905274,0.104911133,-0.899138011
457,1,-0.503248601,0.0256362212,-0.863761327
458,1,-0.493964971,-0.067092234,-0.866889404
459,1,-0.398823966,-0.123448778,-0.908680275
460,1,-0.250261925,-0.109393832,-0.961978149
461,1,-0.0839334973,-0.0267267529,-0.996112869
462,1,0.0909807006,0.0933310709,-0.991469527
463,1,0.286267792,0.202583236,-0.936488539
464,1,0.494229569,0.244066028,-0.834367369
465,1,0.666152689,0.181123429,-0.723488009
466,1,0.744846031,0.0333956997,-0.666400118
467,1,0.704282221,-0.129066932,-0.69808902
468,1,0.561347047,-0.232574827,-0.794228206
469,1,0.370726453,-0.245288498,-0.895765287
470,1,0.199533904,-0.185816381,-0.962111477
471,1,0.0870985589,-0.0880068281,-0.992304711
472,1,0.0356935792,0.0400024232,-0.998561853
473,1,0.0337864147,0.222335932,-0.97438453
474,1,0.0752308144,0.489611377,-0.868689256
475,1,0.160833973,0.804796339,-0.571345155
476,1,0.267384113,0.96303204,-0.0327875922
477,1,0.335247307,0.787543475,0.51709237
478,1,0.355942953,0.4023215,0.843470228
479,1,0.359870583,-0.0369181969,0.932271532
480,1,0.358345255,-0.472367772,0.805268506
481,1,0.333817498,-0.835682681,0.436119633
482,1,0.256583,-0.957053039,-0.134961645
483,1,0.147766668,-0.750717768,-0.643884962
484,1,0.0622245459,-0.421682793,-0.904605841
485,1,0.000622644118,-0.137298127,-0.990529574
486,1,-0.0701212456,0.0971911223,-0.992792474
487,1,-0.190425086,0.32132849,-0.927624001
488,1,-0.391270676,0.529194963,-0.752901023
489,1,-0.645893623,0.624221423,-0.439510003
490,1,-0.857040448,0.508757044,-0.0815348992
491,1,-0.96479546,0.211446483,0.15639727
492,1,-0.971707306,-0.157752562,0.175781229
493,1,-0.879061149,-0.475550583,-0.0332135239
494,1,-0.679687652,-0.622275405,-0.388327203
495,1,-0.419185027,-0.550310297,-0.722109749
496,1,-0.19306108,-0.35546166,-0.914535088
497,1,-0.0394170107,-0.169659103,-0.984714216
498,1,0.0581418699,-0.0475062597,-0.997177355
499,1,0.111773114,0.0120178288,-0.99366108
500,1,0.117975661,0.0290163562,-0.992592461
501,1,0.0732599202,0.0259168134,-0.996976079
502,1,-0.0103307464,0.0164257751,-0.999811717
503,1,-0.102409021,0.00244476279,-0.994739371
504,1,-0.166829949,-0.0160733541,-0.985854662
505,1,-0.179937003,-0.0282907538,-0.983271228
506,1,-0.138839657,-0.0115539536,-0.990247472
507,1,-0.0531201411,0.0574176568,-0.996936038
508,1,0.0746742121,0.189651272,-0.979007741
509,1,0.260305057,0.367264527,-0.892949072
510,1,0.510292438,0.514022423,-0.689479932
511,1,0.766590398,0.511659686,-0.387999391
512,1,0.941669309,0.31491877,-0.118680585
513,1,0.818668587,-0.00217648237,-0.574262142
514,1,0.751250034,-0.18569935,-0.63335546
515,1,0.580775697,-0.286897969,-0.761832754
516,1,0.370872952,-0.279667488,-0.885572894
517,1,0.193681654,-0.19490698,-0.961508547
518,1,0.0835948516,-0.0723975001,-0.993866441
519,1,0.0355859501,0.0840814397,-0.995823253
520,1,0.0342865286,0.30454659,-0.951880144
521,1,0.0711544497,0.610387908,-0.788900277
522,1,0.140361423,0.910715701,-0.388452807
523,1,0.210477558,0.955385396,0.207214726
524,1,0.243978862,0.674433653,0.696859786
525,1,0.252045462,0.25292078,0.934079314
526,1,0.254556423,-0.192425583,0.947720118
527,1,0.252044713,-0.620321471,0.742748097
528,1,0.2253006,-0.931439639,0.285761858
529,1,0.158182312,-0.936027747,-0.314373049
530,1,0.0822497568,-0.651804423,-0.75391377
531,1,0.0259513846,-0.324755718,-0.945441828
532,1,-0.0257376935,-0.0633173138,-0.99766151
533,1,-0.105921727,0.154397678,-0.982314585
534,1,-0.25121038,0.360458461,-0.898311217
535,1,-0.477831748,0.525360065,-0.704040924
536,1,-0.732625562,0.550049318,-0.400880948
537,1,-0.920090258,0.377721029,-0.103733992
538,1,-0.996864964,0.0649282255,0.0452169097
539,1,-0.961765004,-0.272966093,-0.0223066829
540,1,-0.812953941,-0.510632846,-0.279928538
541,1,-0.569828783,-0.555579463,-0.605497002
542,1,-0.31172232,-0.425621521,-0.849514871
543,1,-0.112869288,-0.239094032,-0.964414106
544,1,0.0226774478,-0.0893022312,-0.995746376
545,1,0.11376629,-0.00320573967,-0.993502368
546,1,0.163008049,0.0269212273,-0.986257382
547,1,0.161398019,0.0225555414,-0.986631606
548,1,0.107435593,0.00669960759,-0.994189473
549,1,0.0189969934,-0.00754232991,-0.999791092
550,1,-0.0702071431,-0.0190940886,-0.997349674
551,1,-0.126827604,-0.0280201039,-0.991528937
552,1,-0.133402081,-0.0237211675,-0.990778074
553,1,-0.0906630687,0.0148719522,-0.995770572
554,1,-0.00541740688,0.109237735,-0.99400089
555,1,0.12745808,0.268301153,-0.954865922
556,1,0.32758007,0.463265373,-0.823454001
557,1,0.586263522,0.59176764,-0.5532686
558,1,0.822172637,0.530803652,-0.205620131
559,1,0.960105466,0.273634368,0.0576344334
560,1,0.989853537,-0.0780471611,0.118737593
561,1,0.915499209,-0.400099408,-0.0422097464
562,1,0.733509919,-0.578614316,-0.356607167
563,1,0.481257413,-0.55364376,-0.679610101
564,1,0.254120626,-0.382559454,-0.888296669
565,1,0.10798709,-0.17128743,-0.97928515
566,1,0.0273346854,0.0462253675,-0.998556974
567,1,-0.0245139836,0.301661275,-0.953099963
568,1,-0.0809935809,0.622546397,-0.778380385
569,1,-0.15897334,0.91768187,-0.364125615
570,1,-0.23144175,0.945206827,0.230258051
571,1,-0.260889582,0.657368183,0.706967961
572,1,-0.260840992,0.238614235,0.935427829
