site,mx,my,mz,atom
260,0.5085944,-0.76491123,-0.3952752,1
261,0.28552544,-0.57922995,-0.76352334,1
262,0.124732345,-0.30666032,-0.94361085,1
263,0.02701634,-0.047122538,-0.99852365,1
264,-0.050703257,0.21315539,-0.97570175,1
265,-0.15515329,0.5108213,-0.8455702,1
266,-0.3148478,0.7957413,-0.5173651,1
267,-0.48706523,0.8733549,0.004307442,1
268,-0.5869877,0.6480839,0.4852139,1
269,-0.6170635,0.25302258,0.74512565,1
270,-0.6169891,-0.18540922,0.7648188,1
271,-0.5913387,-0.59465986,0.5447001,1
272,-0.5041162,-0.8587653,0.09159165,1
273,-0.33904675,-0.8305452,-0.441862,1
274,-0.17248963,-0.57170117,-0.80212533,1
275,-0.06627508,-0.30018368,-0.9515763,1
276,-0.017870657,-0.11019686,-0.99374914,1
277,-0.018404085,0.007964602,-0.9997989,1
278,-0.07011952,0.08327971,-0.99405617,1
279,-0.17459467,0.13032809,-0.97597706,1
280,-0.3143786,0.14160223,-0.93867725,1
281,-0.44531175,0.10195965,-0.8895514,1
282,-0.5154912,0.01651439,-0.85673565,1
283,-0.49475485,-0.0770824,-0.86560726,1
284,-0.3896588,-0.12781325,-0.912047,1
285,-0.23550092,-0.10495449,-0.9661904,1
286,-0.066348284,-0.014574307,-0.9976901,1
287,0.11237432,0.10946927,-0.9876176,1
288,0.31305504,0.2168382,-0.9246501,1
289,0.52361155,0.2494484,-0.81462044,1
290,0.69138473,0.17392072,-0.70124084,1
291,0.7602264,0.01636926,-0.6494519,1
292,0.7077638,-0.14847524,-0.6906704,1
293,0.5547788,-0.24679811,-0.79455084,1
294,0.35958013,-0.2506346,-0.8988239,1
295,0.18998285,-0.18309425,-0.9645636,1
296,0.081946164,-0.078816906,-0.9935154,1
297,0.03457292,0.056802247,-0.9977867,1
298,0.035421424,0.25041416,-0.9674906,1
299,0.078521386,0.5302349,-0.8442069,1
300,0.16333461,0.8425417,-0.51326925,1
301,0.26221535,0.9638271,0.047754016,1
302,0.32033086,0.7498266,0.5789198,1
303,0.33829978,0.35092437,0.87315834,1
304,0.34417766,-0.08933858,0.93464446,1
305,0.34438512,-0.5204981,0.78133255,1
306,0.3182451,-0.86649853,0.38457802,1
307,0.23848128,-0.95120996,-0.19577116,1
308,0.13350478,-0.719251,-0.68180233,1
309,0.05394623,-0.39087456,-0.9188617,1
310,-0.0046672416,-0.11379794,-0.99349296,1
311,-0.07575131,0.117596745,-0.99016804,1
312,-0.1988871,0.34319305,-0.9179664,1
313,-0.40264162,0.55166626,-0.730441,1
314,-0.65462744,0.6401607,-0.4020662,1
315,-0.8567049,0.51455396,-0.035928976,1
316,-0.95616883,0.21011631,0.20394194,1
317,-0.9606028,-0.16457829,0.2239558,1
318,-0.87142766,-0.49036247,0.012591066,1
